Connecting to E4:E3:EA:21:F7:C4
Connected
model=MetaWear C
Stream started
{'epoch': 1515034429082L, 'value x': -0.5263671875, 'value y': 0.1044921875, 'value z': 0.83251953125}
{'epoch': 1515034429097L, 'value x': -0.5263671875, 'value y': 0.10302734375, 'value z': 0.830078125}
{'epoch': 1515034429105L, 'value x': -0.525390625, 'value y': 0.10546875, 'value z': 0.82958984375}
{'epoch': 1515034429112L, 'value x': -0.52587890625, 'value y': 0.10400390625, 'value z': 0.83056640625}
{'epoch': 1515034429127L, 'value x': -0.52685546875, 'value y': 0.1044921875, 'value z': 0.82861328125}
{'epoch': 1515034429135L, 'value x': -0.5244140625, 'value y': 0.10498046875, 'value z': 0.83203125}
{'epoch': 1515034429142L, 'value x': -0.525390625, 'value y': 0.10400390625, 'value z': 0.83251953125}
{'epoch': 1515034429158L, 'value x': -0.52587890625, 'value y': 0.10595703125, 'value z': 0.83154296875}
{'epoch': 1515034429165L, 'value x': -0.52490234375, 'value y': 0.1064453125, 'value z': 0.83203125}
{'epoch': 1515034429172L, 'value x': -0.52490234375, 'value y': 0.10595703125, 'value z': 0.833984375}
{'epoch': 1515034429187L, 'value x': -0.525390625, 'value y': 0.10546875, 'value z': 0.828125}
{'epoch': 1515034429195L, 'value x': -0.52490234375, 'value y': 0.1044921875, 'value z': 0.830078125}
{'epoch': 1515034429202L, 'value x': -0.52587890625, 'value y': 0.10546875, 'value z': 0.83203125}
{'epoch': 1515034429217L, 'value x': -0.52685546875, 'value y': 0.10498046875, 'value z': 0.82958984375}
{'epoch': 1515034429225L, 'value x': -0.5244140625, 'value y': 0.1044921875, 'value z': 0.830078125}
{'epoch': 1515034429232L, 'value x': -0.5244140625, 'value y': 0.10498046875, 'value z': 0.83056640625}
{'epoch': 1515034429247L, 'value x': -0.52490234375, 'value y': 0.103515625, 'value z': 0.83056640625}
{'epoch': 1515034429255L, 'value x': -0.525390625, 'value y': 0.10302734375, 'value z': 0.83251953125}
{'epoch': 1515034429262L, 'value x': -0.52587890625, 'value y': 0.10498046875, 'value z': 0.83154296875}
{'epoch': 1515034429277L, 'value x': -0.52294921875, 'value y': 0.1044921875, 'value z': 0.82958984375}
{'epoch': 1515034429285L, 'value x': -0.52392578125, 'value y': 0.10498046875, 'value z': 0.83251953125}
{'epoch': 1515034429292L, 'value x': -0.52294921875, 'value y': 0.10693359375, 'value z': 0.8310546875}
{'epoch': 1515034429307L, 'value x': -0.52490234375, 'value y': 0.1044921875, 'value z': 0.82958984375}
{'epoch': 1515034429315L, 'value x': -0.52490234375, 'value y': 0.10595703125, 'value z': 0.830078125}
{'epoch': 1515034429322L, 'value x': -0.52294921875, 'value y': 0.10693359375, 'value z': 0.83056640625}
{'epoch': 1515034429337L, 'value x': -0.5244140625, 'value y': 0.10595703125, 'value z': 0.82958984375}
{'epoch': 1515034429345L, 'value x': -0.52490234375, 'value y': 0.10595703125, 'value z': 0.8310546875}
{'epoch': 1515034429353L, 'value x': -0.525390625, 'value y': 0.1064453125, 'value z': 0.8291015625}
{'epoch': 1515034429367L, 'value x': -0.52490234375, 'value y': 0.1064453125, 'value z': 0.830078125}
{'epoch': 1515034429375L, 'value x': -0.52685546875, 'value y': 0.1044921875, 'value z': 0.830078125}
{'epoch': 1515034429382L, 'value x': -0.52685546875, 'value y': 0.10546875, 'value z': 0.83056640625}
{'epoch': 1515034429397L, 'value x': -0.52587890625, 'value y': 0.10498046875, 'value z': 0.8291015625}
{'epoch': 1515034429405L, 'value x': -0.5263671875, 'value y': 0.10595703125, 'value z': 0.82958984375}
{'epoch': 1515034429412L, 'value x': -0.5234375, 'value y': 0.10595703125, 'value z': 0.82958984375}
{'epoch': 1515034429427L, 'value x': -0.5234375, 'value y': 0.1064453125, 'value z': 0.830078125}
{'epoch': 1515034429435L, 'value x': -0.52392578125, 'value y': 0.107421875, 'value z': 0.83056640625}
{'epoch': 1515034429442L, 'value x': -0.5224609375, 'value y': 0.107421875, 'value z': 0.830078125}
{'epoch': 1515034429458L, 'value x': -0.525390625, 'value y': 0.10693359375, 'value z': 0.82763671875}
{'epoch': 1515034429465L, 'value x': -0.52685546875, 'value y': 0.1064453125, 'value z': 0.83056640625}
{'epoch': 1515034429472L, 'value x': -0.5263671875, 'value y': 0.10498046875, 'value z': 0.830078125}
{'epoch': 1515034429487L, 'value x': -0.52587890625, 'value y': 0.10302734375, 'value z': 0.83056640625}
{'epoch': 1515034429495L, 'value x': -0.52587890625, 'value y': 0.1044921875, 'value z': 0.83251953125}
{'epoch': 1515034429502L, 'value x': -0.5244140625, 'value y': 0.10498046875, 'value z': 0.8310546875}
{'epoch': 1515034429517L, 'value x': -0.52783203125, 'value y': 0.10400390625, 'value z': 0.82958984375}
{'epoch': 1515034429525L, 'value x': -0.52490234375, 'value y': 0.10400390625, 'value z': 0.8310546875}
{'epoch': 1515034429532L, 'value x': -0.52392578125, 'value y': 0.103515625, 'value z': 0.83154296875}
{'epoch': 1515034429547L, 'value x': -0.5244140625, 'value y': 0.1044921875, 'value z': 0.82861328125}
{'epoch': 1515034429555L, 'value x': -0.5244140625, 'value y': 0.10498046875, 'value z': 0.82861328125}
{'epoch': 1515034429562L, 'value x': -0.52490234375, 'value y': 0.10302734375, 'value z': 0.8291015625}
{'epoch': 1515034429577L, 'value x': -0.52587890625, 'value y': 0.10498046875, 'value z': 0.830078125}
{'epoch': 1515034429585L, 'value x': -0.5244140625, 'value y': 0.10302734375, 'value z': 0.828125}
{'epoch': 1515034429592L, 'value x': -0.5263671875, 'value y': 0.10595703125, 'value z': 0.830078125}
{'epoch': 1515034429607L, 'value x': -0.5263671875, 'value y': 0.10546875, 'value z': 0.83251953125}
{'epoch': 1515034429615L, 'value x': -0.52685546875, 'value y': 0.107421875, 'value z': 0.830078125}
{'epoch': 1515034429622L, 'value x': -0.5263671875, 'value y': 0.10498046875, 'value z': 0.83056640625}
{'epoch': 1515034429637L, 'value x': -0.5234375, 'value y': 0.10302734375, 'value z': 0.82861328125}
{'epoch': 1515034429645L, 'value x': -0.5234375, 'value y': 0.10546875, 'value z': 0.8291015625}
{'epoch': 1515034429653L, 'value x': -0.52490234375, 'value y': 0.10400390625, 'value z': 0.830078125}
{'epoch': 1515034429668L, 'value x': -0.52392578125, 'value y': 0.1044921875, 'value z': 0.8310546875}
{'epoch': 1515034429675L, 'value x': -0.525390625, 'value y': 0.10546875, 'value z': 0.8310546875}
{'epoch': 1515034429683L, 'value x': -0.52587890625, 'value y': 0.107421875, 'value z': 0.830078125}
{'epoch': 1515034429698L, 'value x': -0.52587890625, 'value y': 0.10498046875, 'value z': 0.83251953125}
{'epoch': 1515034429705L, 'value x': -0.5263671875, 'value y': 0.1044921875, 'value z': 0.8310546875}
{'epoch': 1515034429712L, 'value x': -0.5263671875, 'value y': 0.10498046875, 'value z': 0.82861328125}
{'epoch': 1515034429727L, 'value x': -0.52587890625, 'value y': 0.107421875, 'value z': 0.8291015625}
{'epoch': 1515034429735L, 'value x': -0.52294921875, 'value y': 0.1064453125, 'value z': 0.8291015625}
{'epoch': 1515034429742L, 'value x': -0.52392578125, 'value y': 0.10302734375, 'value z': 0.83154296875}
{'epoch': 1515034429758L, 'value x': -0.5263671875, 'value y': 0.1044921875, 'value z': 0.83203125}
{'epoch': 1515034429765L, 'value x': -0.5263671875, 'value y': 0.1064453125, 'value z': 0.8310546875}
{'epoch': 1515034429772L, 'value x': -0.5244140625, 'value y': 0.10546875, 'value z': 0.830078125}
{'epoch': 1515034429787L, 'value x': -0.525390625, 'value y': 0.1044921875, 'value z': 0.82958984375}
{'epoch': 1515034429795L, 'value x': -0.52587890625, 'value y': 0.1064453125, 'value z': 0.8291015625}
{'epoch': 1515034429802L, 'value x': -0.52294921875, 'value y': 0.10546875, 'value z': 0.828125}
{'epoch': 1515034429817L, 'value x': -0.52294921875, 'value y': 0.103515625, 'value z': 0.8291015625}
{'epoch': 1515034429825L, 'value x': -0.525390625, 'value y': 0.10546875, 'value z': 0.82958984375}
{'epoch': 1515034429840L, 'value x': -0.5244140625, 'value y': 0.10302734375, 'value z': 0.83251953125}
{'epoch': 1515034429847L, 'value x': -0.5263671875, 'value y': 0.10498046875, 'value z': 0.82861328125}
{'epoch': 1515034429855L, 'value x': -0.5244140625, 'value y': 0.10546875, 'value z': 0.82763671875}
{'epoch': 1515034429862L, 'value x': -0.52392578125, 'value y': 0.1025390625, 'value z': 0.83056640625}
{'epoch': 1515034429877L, 'value x': -0.5263671875, 'value y': 0.10546875, 'value z': 0.83203125}
{'epoch': 1515034429885L, 'value x': -0.52685546875, 'value y': 0.1044921875, 'value z': 0.830078125}
{'epoch': 1515034429892L, 'value x': -0.525390625, 'value y': 0.10400390625, 'value z': 0.82861328125}
{'epoch': 1515034429907L, 'value x': -0.5244140625, 'value y': 0.10546875, 'value z': 0.82958984375}
{'epoch': 1515034429915L, 'value x': -0.52490234375, 'value y': 0.1044921875, 'value z': 0.8291015625}
{'epoch': 1515034429922L, 'value x': -0.52685546875, 'value y': 0.10498046875, 'value z': 0.83056640625}
{'epoch': 1515034429937L, 'value x': -0.525390625, 'value y': 0.10546875, 'value z': 0.833984375}
{'epoch': 1515034429945L, 'value x': -0.52783203125, 'value y': 0.10498046875, 'value z': 0.8291015625}
{'epoch': 1515034429960L, 'value x': -0.52587890625, 'value y': 0.10693359375, 'value z': 0.82958984375}
{'epoch': 1515034429967L, 'value x': -0.52490234375, 'value y': 0.10498046875, 'value z': 0.83203125}
{'epoch': 1515034429975L, 'value x': -0.5263671875, 'value y': 0.1044921875, 'value z': 0.830078125}
{'epoch': 1515034429990L, 'value x': -0.5263671875, 'value y': 0.10693359375, 'value z': 0.82861328125}
{'epoch': 1515034429997L, 'value x': -0.52734375, 'value y': 0.10546875, 'value z': 0.830078125}
{'epoch': 1515034430005L, 'value x': -0.525390625, 'value y': 0.10498046875, 'value z': 0.82958984375}
